Tempo_ms,Movimento,LDR
70365,0,477
70508,0,479
70652,0,479
70797,0,478
70941,0,479
71085,0,481
71229,0,479
71373,0,480
71517,0,480
71661,0,480
71805,0,480
71950,0,479
72093,0,480
72238,0,480
72382,0,480
72526,0,480
72670,0,481
72814,0,479
72958,0,480
73102,0,481
73246,0,481
73391,0,481
73535,0,482
73678,0,483
73823,0,482
73967,0,482
74110,0,484
74255,0,482
74399,0,483
74544,0,483
74687,0,484
74831,0,483
74976,0,484
75120,1,486
75266,1,486
75411,1,484
75556,1,486
75702,1,485
75847,1,485
75994,1,485
76139,1,486
76284,1,485
76430,1,486
76575,1,486
76721,1,485
76867,1,486
77012,1,487
77158,1,484
77303,1,484
77449,1,484
77594,1,485
77741,1,486
77886,1,488
78031,1,489
78177,1,490
78322,1,492
78469,1,493
78614,1,495
78759,1,496
78905,1,497
79050,1,497
79196,1,497
79342,1,497
79488,1,498
79633,1,497
79778,1,498
79924,1,499
80070,1,499
80216,1,501
80361,1,503
80506,1,502
80652,1,502
80797,1,502
80944,1,502
81089,1,502
81234,1,504
81380,0,504
81524,0,503
81669,0,503
81812,0,503
81956,0,504
82101,0,503
82244,0,503
82388,0,504
82533,0,503
82677,0,503
82821,0,503
82965,0,504
83109,0,503
83253,0,503
83397,0,503
83542,0,503
83686,0,503
83829,0,502
83974,0,504
84118,0,504
84262,0,502
84406,0,503
84550,0,503
84695,0,501
84838,0,501
84982,0,501
85127,1,502
85272,1,500
85417,1,500
85563,1,500
85709,1,502
85855,1,502
86000,1,502
86146,0,501
86290,0,501
86434,0,501
86578,0,501
86722,0,502
86866,0,500
87011,0,501
87154,0,499
87299,0,499
87443,0,498
87586,0,497
87731,0,499
87875,0,498
88019,0,501
88163,0,500
88307,0,501
88452,1,500
88597,1,503
88742,1,503
88888,1,503
89034,1,503
89180,1,504
89325,1,506
89470,1,506
89616,0,507
89760,0,506
89905,0,506
90048,0,506
90192,0,507
90337,0,507
90481,0,508
90625,0,510
90769,0,510
90913,0,514
91057,0,515
91201,0,516
91345,0,515
91490,0,515
91633,0,515
91778,0,516
91922,0,516
92065,0,516
92210,0,518
92354,0,519
92498,0,522
92642,0,524
92786,1,525
92932,1,527
93077,1,528
93223,1,528
93369,1,530
93514,1,531
93660,1,530
93805,1,531
93950,0,532
94095,0,532
94239,0,531
94384,0,531
94527,0,533
94671,0,533
94816,0,533
94960,0,532
95104,0,532
95248,0,529
95392,0,530
95536,0,528
95680,0,528
95824,0,528
95969,0,528
96112,0,526
96257,0,524
96401,0,523
96544,0,524
96689,0,528
96833,0,528
96977,0,529
97121,0,527
97265,0,526
97410,1,525
97555,1,525
97700,1,524
97846,1,524
97991,1,527
98138,1,528
98283,1,525
98428,1,557
98574,1,572
98719,1,587
98865,1,609
99011,1,645
99156,1,675
99302,1,700
99447,1,718
99593,1,745
99738,1,779
99885,1,807
100030,1,827
100175,1,843
100321,0,852
100465,0,856
100610,0,859
100754,0,860
100897,0,863
101042,0,858
101186,0,855
101330,0,847
101474,0,840
101618,0,836
101763,0,830
101907,0,826
102050,0,818
102195,0,802
102339,0,799
102483,1,798
102629,1,797
102774,1,800
102920,1,824
103066,1,828
103212,1,830
103357,1,838
103502,1,845
103648,1,853
103794,0,857
103938,0,853
104082,0,837
104226,0,828
104371,0,827
104515,0,822
104658,0,813
104803,0,801
104947,0,799
105092,0,793
105235,0,786
105379,0,793
105524,0,802
105668,0,818
105812,0,833
105956,0,838
106100,0,847
106245,0,853
106389,0,858
106532,0,862
106677,0,867
106821,0,866
106966,1,869
107111,1,871
107256,1,871
107402,1,870
107548,1,868
107694,1,870
107839,1,869
107984,1,871
108130,1,872
108276,1,875
108422,1,877
108567,1,876
108712,1,875
108859,1,876
109004,1,878
109150,1,881
109295,1,881
109441,1,886
109587,1,886
109732,1,888
109878,1,890
110023,1,892
110170,1,895
110315,0,893
110459,0,900
110603,0,902
110747,0,897
110892,0,899
111036,0,909
111179,0,903
111324,0,899
111468,0,910
111612,0,905
111757,0,903
111900,0,910
112045,0,905
112189,0,905
112333,0,906
112477,0,907
112621,0,908
112765,0,908
112910,0,911
113053,0,910
113198,0,908
113342,0,913
113486,0,916
113630,0,911
113774,0,911
113918,0,922
114063,0,913
114207,0,910
114351,0,923
114495,0,917
114639,0,912
114784,0,916
114927,0,922
115072,0,913
115216,0,913
115360,0,925
115504,0,916
115648,0,912
115792,0,922
115937,0,916
116081,0,917
116225,0,914
116369,0,914
116513,0,917
116658,0,915
116801,0,914
116945,0,915
117090,0,912
117234,0,927
117378,0,921
117522,0,912
117666,0,921
117811,0,931
117954,0,914
118098,0,917
118243,0,918
118387,0,917
118531,0,916
118675,0,918
118819,0,915
118964,0,915
119108,0,903
119251,0,867
119396,0,835
119540,0,804
119685,0,760
119828,1,631
119973,1,604
120120,1,603
120265,1,605
120411,1,598
120556,1,598
120701,1,590
120848,1,610
120993,1,615
121139,1,617
121284,1,618
121431,1,625
121576,1,648
121721,1,627
121867,1,645
122012,1,642
122159,1,646
122304,1,644
122449,1,648
122595,0,655
122739,0,678
122884,0,689
123027,0,691
123171,0,692
123316,0,692
123460,0,701
123604,0,695
123748,0,695
123892,0,700
124037,0,693
124181,0,696
124324,0,704
124469,0,678
124613,0,698
124758,0,651
124901,1,638
125047,1,709
125193,1,769
125338,1,801
125484,1,825
125630,1,841
125775,1,871
125921,1,886
126066,1,899
126212,1,904
126358,1,901
126503,1,904
126649,0,906
126793,0,910
126938,0,916
127081,0,918
127225,0,920
127370,0,921
127514,0,924
127657,0,924
127802,0,926
127946,0,925
128091,0,925
128235,0,925
128378,0,922
128523,0,921
128667,0,919
128812,0,918
128955,0,918
129099,0,918
129244,0,917
129388,0,918
129531,1,919
129678,1,916
129823,1,916
129969,1,919
130114,1,917
130260,1,915
130406,1,916
130551,0,917
130696,0,919
130840,0,917
130983,0,917
131128,0,916
131272,0,915
131417,0,916
131560,0,914
131704,0,915
131849,0,914
131993,0,913
132136,0,910
132281,0,913
132425,0,910
132570,0,910
132714,0,909
132857,1,910
133004,1,907
133149,1,909
133295,1,907
133440,1,906
133585,1,907
133732,1,905
133877,1,905
134023,1,905
134168,1,902
134313,1,897
134460,1,864
134605,1,841
134751,1,830
134896,0,810
135041,0,793
135185,0,766
135329,0,712
135473,0,687
135617,0,698
135761,0,719
135906,0,719
136049,0,713
136194,0,696
136338,0,673
136482,0,652
136626,0,634
136770,0,600
136914,0,556
137059,0,518
137203,0,496
137347,0,472
137491,0,441
137635,0,413
137780,0,394
137923,0,394
138067,0,394
138212,0,387
138356,0,348
138500,0,274
138644,0,194
138788,0,162
138933,1,140
139078,1,135
139224,1,139
139369,1,147
139514,1,177
139661,1,189
139806,1,182
139952,1,168
140097,1,158
140243,1,152
140389,1,145
140534,1,144
140680,1,141
140825,1,127
140972,1,118
141117,1,114
141262,1,113
141408,1,110
141554,1,108
141700,1,105
141845,1,106
141990,1,104
142136,1,91
142280,1,80
142425,1,74
142569,0,71
142711,0,70
142854,0,68
142996,0,66
143138,0,63
143282,0,63
143424,0,63
143566,0,63
143709,0,63
143852,0,65
143994,0,65
144137,0,64
144279,0,62
144422,0,61
144565,0,61
144707,0,60
144849,0,60
144992,0,58
145135,1,59
145278,1,58
145423,1,59
145567,1,61
145712,1,59
145855,1,62
145999,1,66
146144,1,68
146287,0,74
146430,0,73
146573,0,71
146715,0,72
146857,0,71
147000,0,66
147143,0,60
147286,0,57
147428,0,54
147570,0,55
147714,0,56
147856,0,53
147998,0,55
148141,0,56
148284,0,52
148426,1,52
148571,1,50
148714,1,48
148858,1,49
149003,1,49
149146,1,49
149291,1,48
149435,1,47
149578,1,48
149723,1,47
149867,1,48
150010,1,47
150155,1,47
150299,1,47
150444,1,45
150587,1,46
150731,1,46
150876,1,45
151019,0,47
151162,0,48
151305,0,48
151447,0,48
